IDCompressor,Description,CMax,CStart,Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11,Var12,FattMolt,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
1,"ZR11M3E-TWD",0,0,2.2717,0.044498,-0.00010756,0.00016635,-0.0019539,0.0013059,5.2933e-07,-1.0431e-05,2.6126e-05,-3.7886e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,"ZR12M3E-TWD",0,0,2.609,0.051106,-0.00012353,0.00019106,-0.002244,0.0014998,6.0793e-07,-1.198e-05,3.0005e-05,-4.3511e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,"ZR22K3E-TFD",0,0,0.20851,-0.013412,0.017591,-0.0002882,0.0005500700000000001,-0.00015816,-2.8213e-06,5.5621e-06,-6.8388e-06,3.4548e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,"ZR28K3E-TFD",0,0,-0.019053,-0.012083,0.038313,0.00012429,0.00044112,-0.00044966,6.5905e-06,-3.9482e-06,-5.0689e-06,5.3168e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,"ZR34K3E-TFD",0,0,0.24994,-0.0077301,0.028471,1.7128e-05,0.00018581,-0.00021349,4.5956e-06,-1.2938e-08,-2.9068e-06,4.3799e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,"ZR40K3E-TFD",0,0,-0.36841,-0.0071826,0.074118,-0.00037798,0.00039483,-0.001119,-6.5512e-06,1.1602e-05,-6.1328e-06,1.0876e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,"ZR48K3E-TFD",0,0,-0.44236,-0.03954,0.098422,-0.001188,0.0020096,-0.001721,-1.0589e-05,2.9278e-05,-2.3909e-05,1.6778e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,"ZR61KCE-TFD",0,0,0.56355,-0.0077484,0.048083,2.2512e-05,0.00053005,-0.00050918,7.2892e-06,1.1597e-06,-5.8842e-06,7.9654e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,"ZR72KCE-TFD",0,0,0.3263,-0.001693,0.07546700000000001,-6.5378e-06,0.00041386,-0.0010045,-2.8399e-06,3.3794e-06,-7.2728e-06,1.3162e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,"ZR81KCE-TFD",0,0,0.8969200000000001,-0.0073662,0.04941,0.00016621,0.00052909,-0.0003207,9.5445e-06,6.7103e-07,-6.1031e-06,8.2668e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,"ZR90K3E-TWD",0,0,1.9345,0.05162,-0.0053157,0.00057745,-0.0024916,0.0012248,7.662100000000001e-06,-1.6447e-05,3.019e-05,-4.2177e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,"ZRT122KCE-TFD",0,0,1.1271,-0.015497,0.096166,4.5023e-05,0.0010601,-0.0010184,1.4578e-05,2.3195e-06,-1.1768e-05,1.5931e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
