IDCompressor,Description,Tcmax,Tcmin,Temax,Temin,Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11,Var12,FattMolt,RPSmin,RPSmax,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
1,"ZR11M3E-TWD",65,35,15,-20,18.656,0.7415,-0.024187,0.011491,-0.0014814,-0.0025247,3.8795e-05,-6.703e-05,-5.6926e-05,1.5028e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"ZR12M3E-TWD",65,35,15,-20,21.618,0.85939,-0.027851,0.013318,-0.0017221,-0.0029294,4.53e-05,-7.789299999999999e-05,-6.5861e-05,1.7434e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"ZR22K3E-TFD",65,35,15,-20,4.7729,0.20256,-0.056056,0.0030612,-0.001995,0.00062135,1.0104e-05,-2.3989e-05,9.536599999999999e-06,-5.7447e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"ZR28K3E-TFD",65,35,15,-20,6.3779,0.259,-0.076445,0.0030726,-0.0020931,0.00072623,-5.9111e-06,-1.5878e-05,5.0327e-06,-5.5153e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"ZR34K3E-TFD",65,35,15,-20,6.7132,0.26728,-0.041165,0.0040406,-0.0013916,-0.00011536,2.1744e-05,-2.2404e-05,-4.0559e-06,-1.7087e-07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"ZR40K3E-TFD",65,35,15,-20,8.583399999999999,0.26091,-0.09762899999999999,0.0030749,0.0003077,0.00090479,8.5296e-06,1.2806e-06,-1.9845e-05,-7.4959e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"ZR48K3E-TFD",65,35,15,-20,9.184200000000001,0.3955,-0.039752,0.0067469,-0.002943,-0.00049197,4.6445e-05,-5.827e-05,6.3918e-06,8.9377e-07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"ZR61KCE-TFD",65,35,15,-20,12.391,0.48181,-0.09931,0.0074818,-0.0026628,0.00039472,5.5415e-05,-4.4665e-05,-6.2206e-06,-4.2573e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"ZR72KCE-TFD",65,35,15,-20,14.685,0.5362,-0.08643000000000001,0.0072444,-0.0011621,-0.00053314,2.558e-05,-1.7035e-05,-2.9745e-05,1.9369e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"ZR81KCE-TFD",65,35,15,-20,16.005,0.63374,-0.09573,0.009602100000000001,-0.003677,-0.00027144,4.7026e-05,-5.8905e-05,-5.6948e-06,-3.2772e-07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
