IdCompressor,Description,Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11,Var12,FattMolt,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
1,"ZR11M3E-TWD",8.6614,0.04254,-0.0066523,0.0014491,-0.0018431,0.00069542,2.2491e-05,-2.9157e-05,2.0423e-05,6.5338e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,"ZR12M3E-TWD",9.9475,0.048857,-0.0076402,0.0016643,-0.0021168,0.00079869,2.5831e-05,-3.3486e-05,2.3456e-05,7.504e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,"ZR22K3E-TFD",1.2549,-0.015396,0.025127,-0.0005454499999999999,0.00077703,-0.00046369,-9.7306e-06,1.1071e-05,-1.0248e-05,7.2567e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,"ZR28K3E-TFD",1.604,-0.020411,0.04072,-5.3761e-05,0.00083493,-0.0007304600000000001,9.796700000000001e-06,-2.4851e-07,-9.8622e-06,9.3289e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,"ZR34K3E-TFD",2.1165,-0.010931,0.032269,-0.00011983,0.00041866,-0.00050017,2.1649e-06,3.0296e-06,-6.1813e-06,8.468600000000001e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,"ZR40K3E-TFD",0.38011,0.044174,0.14647,0.0012198,-0.0024444,-0.0026448,1.0561e-05,-2.9388e-05,2.5099e-05,2.2682e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,"ZR48K3E-TFD",1.6821,-0.061045,0.10945,-0.0014938,0.0030245,-0.0022429,-1.2996e-05,3.6881e-05,-3.5035e-05,2.3854e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,"ZR61KCE-TFD",6.409,-0.0093773,-0.098192,0.0004754,0.00025532,0.0019504,1.5193e-05,-1.3793e-05,5.3489e-07,-3.6477e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,"ZR72KCE-TFD",3.4491,-0.0089619,0.066598,0.00021055,0.0007262599999999999,-0.0011084,7.3686e-06,5.8685e-07,-1.1192e-05,1.8571e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,"ZR81KCE-TFD",5.7215,-0.01112,0.051444,0.00030243,0.00066654,-0.00084323,9.402099999999999e-06,-1.3409e-06,-6.938e-06,1.5768e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,"ZR90K3E-TWD",7.2723,0.018329,0.021054,0.00011733,-0.0010147,0.000202,1.265e-06,-6.6877e-06,1.4345e-05,6.3247e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,"ZRT122KCE-TFD",12.818,-0.018755,-0.19638,0.0009508,0.00051065,0.0039009,3.0386e-05,-2.7587e-05,1.0698e-06,-7.2953e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,"ZRT144KCE-TFD",6.8982,-0.017924,0.1332,0.00042111,0.0014525,-0.0022168,1.4737e-05,1.1737e-06,-2.2384e-05,3.7142e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,"ZR16M3E-TWD",13.027,0.10274,-0.05874,0.0019808,-0.0046831,0.0021536,1.8191e-05,-3.8631e-05,5.4297e-05,-1.3587e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,"ZRT162KCE-TFD",11.443,-0.022241,0.10289,0.00060486,0.0013331,-0.0016865,1.8804e-05,-2.6818e-06,-1.3876e-05,3.1535e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,"ZRT180K3E-TWD",14.577,0.054625,0.035164,0.0011014,-0.0031211,0.00065457,9.130000000000001e-06,-3.412e-05,4.3401e-05,1.0231e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,"ZR19M3E-TWD",13.046,-0.01762,0.018253,-0.00030212,0.00031863,0.00071932,4.0822e-06,-4.9374e-06,5.3331e-06,1.3601e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,"ZRT220K3E-TWD",17.3345454613591,0.0974794855392626,-0.0132925446011106,0.00252953737050256,-0.00412975382577535,0.00137083605078593,3.11743675153706e-05,-4.99910881222141e-05,4.47520974246053e-05,1.32709139606614e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,"ZR250KCE-TWD",14.915,0.045328,0.045303,0.0020639,-0.0015185,0.00035558,2.3297e-05,-4.3717e-05,1.8964e-05,2.4881e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,"ZRT240K3E-TWD",19.738,0.092275,-0.0016163,0.0027036,-0.0037744,0.0012253,4.206e-05,-4.691e-05,4.0215e-05,1.7954e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
