IdCompModel,Model,IdCostruttore,IdTipoCompr,IdUtilizzo,IdModalita,IdsFreon,Point,IDAl,FattoreCorrettivo,SHRif,SCRif,TempCondRif,TempEvapRif,Eq10Coef,CompressorUID,CalibrationFactor,CalibrationMode,NominalPower,SH,SC,SHMode,SortPosition,UnilabStandard,OriginalGUID,LastModified,OriginalLastModified,Limiti,PartLoad
1,"ZR11M3E-TWD",1,1,4,17,16,0,1,0,18.3333339691162,0,38,3.5,1,"159EFBEB-D121-44BD-AB3C95B4535DC517",1.104074954986572,2,17.29999923706055,5,2,0,44,1,,"20090226 135046",,"-16.6;30.4;15.1;30.4;15;70.4;2;70.2;-16.5;42.6",0
2,"ZR12M3E-TWD",1,1,4,17,16,0,1,0,18.3333339691162,0,38,3.5,1,"155EBF0C-BE7D-443D-8B32D06A60C0936B",1.127974271774292,2,20,5,2,0,47,1,,"20090226 135142",,"-16.6;30.4;15.2;30.2;15.2;70.4;2;70.6;-16.6;42.6",0
3,"ZR22K3E-TFD",1,1,4,17,16,0,1,0,11.1,8.300000000000001,38,3.5,1,"160BF240-1D5F-4744-B0A955F47E0C0AF1",1.024946212768555,2,3.5,5,2,0,1,1,,"20100908 152727",,"-20;30;10;30;15;35;15;75;0;75;-20;42",0
4,"ZR28K3E-TFD",1,1,4,17,16,0,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"9838C1A9-421B-4511-9DACD51F713B56E2",0.9978882074356079,2,4.599999904632568,5,2,0,12,1,,"20090226 134201",,"-20.1;30.2;10.1;30;14.9;35.8;14.9;75;-0.1;75.2;-20;41.7",0
5,"ZR34K3E-TFD",1,1,4,17,16,0,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"FCACF761-342A-4CC3-955E3DC39F2F042E",0.9816370606422424,2,5.400000095367432,5,2,0,23,1,,"20090226 134459",,"-20.1;30.2;10.1;30;14.9;35.8;14.9;75;-0.1;75.2;-20;41.7",0
6,"ZR40K3E-TFD",1,1,4,17,16,0,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"80914926-9DFF-4A3C-BFDD17FD2BCDC731",1,2,6.25,5,2,0,34,1,,"20090226 134806",,"-20.1;30.2;10.1;30;14.9;35.8;14.9;75;-0.1;75.2;-20;41.7",0
7,"ZR48K3E-TFD",1,1,4,17,16,0,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"EA9B2FF0-A732-4C34-BA01AD3B1A33498D",0.9943497180938721,2,7.599999904632568,5,2,0,45,1,,"20090226 135101",,"-20.1;30.2;10.1;30;14.9;35.8;14.9;75;-0.1;75.2;-20;41.7",0
8,"ZR61KCE-TFD",1,1,4,17,16,0,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"ED62E699-B3BE-470D-B640282A31017FC8",0.9957452416419983,2,9.699999809265137,5,2,0,56,1,,"20090226 135356",,"-20.1;30.2;10.1;30;14.9;35.8;14.9;75;-0.1;75.2;-20;41.7",0
9,"ZR72KCE-TFD",1,1,4,17,16,0,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"A6761F43-5DFC-4646-B5791E3449FC4D6B",1.024414658546448,2,11.60000038146973,5,2,0,60,1,,"20090226 135507",,"-20.1;30.2;10.1;30;14.9;35.8;14.9;75;-0.1;75.2;-20;41.7",0
10,"ZR81KCE-TFD",1,1,4,17,16,0,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"EE8A40AA-E40D-458A-B7521E126325CBB5",1.005292415618896,2,12.89999961853027,5,2,0,61,1,,"20090226 135523",,"-20.1;30.2;10.1;30;14.9;35.8;14.9;75;-0.1;75.2;-20;41.7",0
11,"ZR90K3E-TWD",1,1,4,17,16,0,1,0,18.3333339691162,0,38,3.5,1,"F970CFD2-7B88-44A4-B5F7BA03E18A6ADC",1.124765038490295,2,14,5,2,0,42,1,,"20090226 135012",,"-16.5;30.4;14.9;30.2;14.9;69.9;1.9;69.7;-16.5;42.6",0
12,"ZRT122KCE-TFD",1,1,4,17,16,0,1,0,18.3333339691162,0,38,3.5,1,"958D84C8-0240-4013-BE930655A2838015",1.125861883163452,2,19.20000076293945,5,2,0,46,1,,"20090226 135129",,"-20;30.4;10.2;30.6;14.9;36.3;15.1;75.4;0.1;75.3;-20.1;42.2",0
13,"ZRT144KCE-TFD",1,1,4,17,16,0,1,0,18.3333339691162,0,38,3.5,1,"EEF66944-2B7E-4DAE-B348F84E679F91A8",1.148202300071716,2,23.20000076293945,5,2,0,48,1,,"20090226 135154",,"-20.1;30.4;10.2;30.4;15.1;36.1;15.1;75.4;-0.1;75.2;-20;42",0
14,"ZR16M3E-TWD",1,1,4,17,16,0,1,0,18.3333339691162,0,38,3.5,1,"658323DF-3D0A-4E71-98DCFDB648DC451B",1.151105642318726,2,24.5,5,2,0,49,1,,"20090226 135206",,"-16.5;30.2;15;30.2;15;70.4;2;70.2;-16.6;42.4",0
15,"ZRT162KCE-TFD",1,1,4,17,16,0,1,0,18.3333339691162,0,38,3.5,1,"344193FA-37B7-4896-A33C27D5380E7684",1.125741720199585,2,25.79999923706055,5,2,0,50,1,,"20090226 135221",,"-20.2;30.2;10.1;30.2;14.9;35.9;15;75.2;-0.1;75.4;-20;42",0
16,"ZRT180K3E-TWD",1,1,4,17,16,0,1,0,18.3333339691162,0,38,3.5,1,"9BD498B8-1FFA-4BEE-814F28D1D359F34C",1.1365647315979,2,28,5,2,0,51,1,,"20090226 135233",,"-16.4;30.4;15.1;30.6;15;70.6;2;70.5;-16.5;42.6",0
17,"ZR19M3E-TWD",1,1,4,17,16,0,1,0,18.3333339691162,0,38,3.5,1,"0A854ED9-233F-4A55-8C5EECB17AB63ED1",1.144510865211487,2,29.20000076293945,5,2,0,52,1,,"20090226 135244",,"-16.4;30.4;15.1;30.6;15;70.6;2;70.5;-16.5;42.6",0
18,"ZRT220K3E-TWD",1,1,4,18,16,0,1,0,11.11111068725586,8.333333015441895,38,3.5,1,"5C92BA1A-F4EF-4042-B5B742E5C7B43F87",0.9950000047683716,2,34.5,5,2,0,5,1,,"20060921 162517",,"-16.5;30;15;30;15;70;2.15;70;-16.5;42.5",0
19,"ZR250KCE-TWD",1,1,4,17,16,0,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"CC313BEA-F62B-49A4-A2A1B56274E656D6",1.014220714569092,2,38.7,5,2,0,7,1,,"20090226 134029",,"-16.6;30;15;30;15;70;2;70.4;-16.6;42.8",0
20,"ZRT240K3E-TWD",1,1,4,17,16,0,1,0,18.3333339691162,0,38,3.5,1,"3E6A5796-171C-4E37-927629EF80F97BB1",1.119110465049744,2,40,5,2,0,53,1,,"20090226 135308",,"-16.4;30.4;15.1;30.6;15;70.6;2;70.5;-16.5;42.6",0
21,"ZRU280K3E-TWD",1,1,4,17,16,0,1,0,18.3333339691162,0,38,3.5,1,"140DA186-490C-4F3E-A4EF8099D4354623",1.133801341056824,2,44.6,5,2,0,54,1,,"20090226 135326",,"-16.4;30.4;15.1;30.6;15;70.6;2;70.5;-16.5;42.6",0
22,"ZRU310K3E-TWD",1,1,4,17,16,0,1,0,18.3333339691162,0,38,3.5,1,"C4AC38D6-5263-4394-9926D5ED479F42CF",1.140973210334778,2,49.2,5,2,0,55,1,,"20090226 135338",,"-16.4;30.4;15.1;30.6;15;70.6;2;70.5;-16.5;42.6",0
23,"ZR310KCE-TWD",1,1,4,17,16,0,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"59F45584-0CC8-499D-9F28C2C8508141B1",1.004045248031616,2,47.9,5,2,0,8,1,,"20090226 134042",,"-16.6;30;15;30;15;70;2;70.4;-16.6;42.8",0
24,"ZRT320K3E-TWD",1,1,4,17,16,0,1,0,18.3333339691162,0,38,3.5,1,"A2FC9124-E318-4A58-85A659268C275A98",1.13633143901825,2,49.1,5,2,0,57,1,,"20090226 135422",,"-16.4;30.4;15.1;30.6;15;70.6;2;70.5;-16.5;42.6",0
25,"ZRU350K3E-TWD",1,1,4,17,16,0,1,0,18.3333339691162,0,38,3.5,1,"4DF7917E-8343-445E-97E83A3208601DA5",1.133397579193115,2,53.8,5,2,0,58,1,,"20090226 135437",,"-16.4;30.4;15.1;30.6;15;70.6;2;70.5;-16.5;42.6",0
26,"ZRT380K3E-TWD",1,1,4,17,16,0,1,0,18.3333339691162,0,38,3.5,1,"C2DB2219-D7F2-46F5-A175EBC88EFE44D4",1.13727068901062,2,58.5,5,2,0,59,1,,"20090226 135453",,"-16.4;30.4;15.1;30.6;15;70.6;2;70.5;-16.5;42.6",0
27,"ZR380KCE-TWD",1,1,4,17,16,0,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"99C97771-F2D2-4973-8B6EEEAE7F6C2DE3",1.004341006278992,2,60.3,5,2,0,9,1,,"20090226 134100",,"-16.6;30;15;30;15;70;2;70.4;-16.6;42.8",0
28,"ZR18K4E-PFJ",1,1,4,17,16,0,7,0,11.1111106872558,8.333333015441889,38,3.5,1,"05671C90-1786-489F-84FC14C2C0D068F6",0.9358258843421936,2,2.8,5,2,0,1,1,,"20090226 135622",,"-20.1;30.2;10.3;30.4;15;36.1;15;75.2;0.1;75;-20.1;41.8",0
29,"ZR22K3E-PFJ",1,1,4,17,16,0,7,0,11.1111106872558,8.333333015441889,38,3.5,1,"3AF6AFD2-68E6-4A94-AB4E4D087158742B",1.129471063613892,2,3.4,5,2,0,3,1,,"20090226 135655",,"-20.1;30.2;10.3;30.4;15;36.1;15;75.2;0.1;75;-20.1;41.8",0
30,"ZR28K3E-PFJ",1,1,4,17,16,0,7,0,11.1111106872558,8.333333015441889,38,3.5,1,"B3A37332-7483-47FA-A1A26EE29CEA165D",1.030845642089844,2,4.5,5,2,0,4,1,,"20090226 135712",,"-20.1;30.2;10.3;30.4;15;36.1;15;75.2;0.1;75;-20.1;41.8",0
31,"ZR34K3E-PFJ",1,1,4,17,16,0,7,0,11.1111106872558,8.333333015441889,38,3.5,1,"8EAAFFF3-0A11-440F-B55C866B7EDE70CF",1.046729326248169,2,5.4,5,2,0,5,1,,"20090226 135729",,"-20.1;30.2;10.3;30.4;15;36.1;15;75.2;0.1;75;-20.1;41.8",0
32,"ZR40K3E-PFJ",1,1,4,17,16,0,7,0,11.1111106872558,8.333333015441889,38,3.5,1,"4522CBF1-8E1E-4945-BF99E05C89E9ACE7",1.047332525253296,2,6.2,5,2,0,6,1,,"20090226 135749",,"-20.1;30.2;10.3;30.4;15;36.1;15;75.2;0.1;75;-20.1;41.8",0
33,"ZR48K3E-PFJ",1,1,4,17,16,0,7,0,11.1111106872558,8.333333015441889,38,3.5,1,"09E4E6C7-1766-4813-99D9396925BCFD75",0.9780060648918152,2,8,5,2,0,7,1,,"20090226 135806",,"-20.1;30.2;10.3;30.4;15;36.1;15;75.2;0.1;75;-20.1;41.8",0
34,"ZR22K3E-TFD",1,1,4,17,45,1,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"E5373E2E-BA0F-4ECE-909CB8DD3DA7219F",1.051647543907166,2,5,5,2,0,1,1,,"20090226 102225",,"-21.1;30.1;15;30.1;15.1;67.2;1.8;67.1;-21;42.8",0
35,"ZR28K3E-TFD",1,1,4,17,45,1,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"4C1788EE-0780-4F22-A499414213B02E77",0.92741459608078,2,6.6,5,2,0,12,1,,"20090226 102704",,"-21.1;30.1;15;30.1;15.1;67.2;1.8;67.1;-21;42.8",0
36,"ZR34K3E-TFD",1,1,4,17,45,1,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"F85D5579-B6EC-407F-900BD03863A221B6",1.001197934150696,2,7.7,5,2,0,23,1,,"20090226 103214",,"-21.1;30.1;15;30.1;15.1;67.2;1.8;67.1;-21;42.8",0
37,"ZR40K3E-TFD",1,1,4,17,45,1,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"CBC45E84-4768-45F7-9E17B5AA7FB6FDCD",0.9356833696365356,2,9.199999999999999,5,2,0,34,1,,"20090226 104111",,"-21.1;30.1;15;30.1;15.1;67.2;1.8;67.1;-21;42.8",0
38,"ZR48K3E-TFD",1,1,4,17,45,1,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"28809A53-1A4B-4A12-B5FCAE8D4E9E9777",0.9202279448509216,2,11.3,5,2,0,45,1,,"20090226 104611",,"-21.1;30.1;15;30.1;15.1;67.2;1.8;67.1;-21;42.8",0
39,"ZR61KCE-TFD",1,1,4,17,45,1,1,0,18.3333339691162,0,38,3.5,1,"B7B00684-F979-4C69-A9D4E9FEC83DC934",1.030038952827454,2,13.9,5,2,0,33,1,,"20090226 104029",,"-20.9;30;14.9;29.9;14.9;67;1.8;67.1;-20.9;43",0
40,"ZR72KCE-TFD",1,1,4,17,45,1,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"546C2264-559E-4DAA-879B0DC39842D12D",0.9480786919593811,2,16.6,5,2,0,53,1,,"20090226 105046",,"-21.1;30.1;15;30.1;15.1;67.2;1.8;67.1;-21;42.8",0
41,"ZR81KCE-TFD",1,1,4,17,45,1,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"FF4C3ED5-27F2-4F51-8A48444417B0F11C",0.9505132436752319,2,18.7,5,2,0,54,1,,"20090226 105113",,"-21.1;30.1;15;30.1;15.1;67.2;1.8;67.1;-21;42.8",0
42,"ZR90K3E-TWD",1,1,4,17,45,1,1,0,18.3333339691162,0,38,3.5,1,"41F7E622-A71F-4E4A-B024B3CD12D8BCBB",1.038191795349121,2,20.89999961853027,5,2,0,35,1,,"20090226 104157",,"-24.1;10;-4;10.2;14.9;30.1;14.8;68.2;3.2;68.4;-24.1;39.9",0
43,"ZRT96K3E-TFD",1,1,4,17,45,1,1,0,18.3333339691162,0,38,3.5,1,"4A309E45-4B92-470F-8A881942D69335F3",1.045730113983154,2,22.8,5,2,0,36,1,,"20090226 104221",,"-21.1;30;15.1;30;15;67.2;1.8;67;-21;42.3",0
44,"ZR11M3E-TWD",1,1,4,17,45,1,1,0,18.3333339691162,0,38,3.5,1,"0D126330-40C5-4FB6-908BF0FD2A6A8CC6",1.064655423164368,2,25.20000076293945,5,2,0,37,1,,"20090226 104249",,"-24.1;10.2;-4;10.6;15;30.4;14.9;68.4;3.2;68.6;-24.1;40",0
45,"ZRT122KCE-TFD",1,1,4,17,45,1,1,0,18.3333339691162,0,38,3.5,1,"F506543D-A19A-4248-A9C8BB27F37921ED",1.073877215385437,2,27.5,5,2,0,38,1,,"20090226 104306",,"-21;30;15;30;15;67.1;1.6;67;-20.9;42.9",0
46,"ZR12M3E-TWD",1,1,4,17,45,1,1,0,18.3333339691162,0,38,3.5,1,"D848BB74-A0B5-4D3B-86C078E2376CAA5A",1.054762959480286,2,29.20000076293945,5,2,0,39,1,,"20090226 104333",,"-23.9;10.2;-4.1;9.8;14.8;30;14.7;67.8;3;67.7;-24;40",0
47,"ZRT144KCE-TFD",1,1,4,17,45,1,1,0,18.3333339691162,0,38,3.5,1,"82FF8CAF-8D4D-41AC-85F99BD106F0B881",1.053485870361328,2,33.2,5,2,0,40,1,,"20090226 104356",,"-23.6;27.4;12.3;27.2;12.4;65.2;-0.2;65;-23.6;39.8",0
48,"ZR16M3E-TWD",1,1,4,17,45,1,1,0,18.3333339691162,0,38,3.5,1,"53B23AAB-0D42-4703-93D78EE11BCD7081",1.055789947509766,2,35.9,5,2,0,41,1,,"20090226 104423",,"-24.1;10;-4;10.3;15;30.2;14.9;68.7;3.2;68.4;-24.1;40.2",0
49,"ZRT162KCE-TFD",1,1,4,17,45,1,1,0,18.3333339691162,0,38,3.5,1,"9603BFDC-1B44-46BA-98DC177AD7C4E3EB",1.063181400299072,2,37.3,5,2,0,42,1,,"20090226 104445",,"-23.6;27.4;12.5;27.4;12.4;65;0.1;65;-23.6;39.7",0
50,"ZRT180K3E-TWD",1,1,4,17,45,1,1,0,18.3333339691162,0,38,3.5,1,"370BBA84-226C-4FC4-B4F0FFAA3706E518",1.06748366355896,2,40.8,5,2,0,43,1,,"20090226 104510",,"-26.4;17.1;2.6;17.1;12.6;27.6;13.5;66.9;1.5;66.9;-26.2;37.7",0
51,"ZR19M3E-TWD",1,1,4,17,45,1,1,0,18.3333339691162,0,38,3.5,1,"F6A0458A-5078-44FA-9977D896980CB7BA",1.065537691116333,2,43.7,5,2,0,44,1,,"20090226 104536",,"-24;10.5;-3.9;10.6;15;30.7;15;68.9;3.2;68.6;-23.9;40.3",0
52,"ZRT220K3E-TWD",1,1,4,18,45,1,1,0,11.11111068725586,8.333333015441895,38,3.5,1,"730EB6D9-84F7-4D19-8872137E20A19B6C",0.9300000071525574,2,50.5,5,2,0,6,1,,"20060921 162517",,"-24;20;5.52;20;15;30;15;68;3.23;68;-24;40",0
53,"ZRT240K3E-TWD",1,1,4,17,45,1,1,0,18.3333339691162,0,38,3.5,1,"DD829330-C65E-4A32-B66B9022A1D9AF9D",1.057048082351685,2,58.2,5,2,0,46,1,,"20090226 104808",,"-26.7;17.6;2.4;17.1;12.5;27.8;13.5;67.1;1.6;66.9;-26.1;37.9",0
54,"ZR250KCE-TWD",1,1,4,17,45,1,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"3CDF90F4-A63C-422E-BB49A07B2800FDC4",0.9633314609527588,2,58.3,5,2,0,7,1,,"20090226 102432",,"-23.9;25;9.9;24.6;14.9;29.8;15;67.6;3.1;67.8;-23.8;39.7",0
55,"ZRU280K3E-TWD",1,1,4,17,45,1,1,0,18.3333339691162,0,38,3.5,1,"5CE329F0-198B-447F-9910AB29E3D405EA",1.050006151199341,2,65.3,5,2,0,47,1,,"20090226 104832",,"-23.5;27.2;12.5;27;12.5;65;0;64.9;-23.6;39.8",0
