IDCompressor,Description,CapacityVar1,CapacityVar2,CapacityVar3,CapacityVar4,CapacityVar5,CapacityVar6,CapacityVar7,CapacityVar8,CapacityVar9,CapacityVar10,CapacityVar11,CapacityVar12,CapacityVar13,CapacityVar14,CapacityVar15,CapacityVar16,CapacityVar17,CapacityVar18,CapacityVar19,CapacityVar20,CapacityVar21,CapacityVar22,CapacityVar23,CapacityVar24,CapacityVar25,CapacityVar26,CapacityVar27,CapacityVar28,CapacityVar29,CapacityVar30,CapacityVar31,CapacityVar32,CapacityVar33,CapacityVar34,CapacityVar35,CapacityVar36,AbsorbedPowerVar1,AbsorbedPowerVar2,AbsorbedPowerVar3,AbsorbedPowerVar4,AbsorbedPowerVar5,AbsorbedPowerVar6,AbsorbedPowerVar7,AbsorbedPowerVar8,AbsorbedPowerVar9,AbsorbedPowerVar10,AbsorbedPowerVar11,AbsorbedPowerVar12,AbsorbedPowerVar13,AbsorbedPowerVar14,AbsorbedPowerVar15,AbsorbedPowerVar16,AbsorbedPowerVar17,AbsorbedPowerVar18,AbsorbedPowerVar19,AbsorbedPowerVar20,AbsorbedPowerVar21,AbsorbedPowerVar22,AbsorbedPowerVar23,AbsorbedPowerVar24,AbsorbedPowerVar25,AbsorbedPowerVar26,AbsorbedPowerVar27,AbsorbedPowerVar28,AbsorbedPowerVar29,AbsorbedPowerVar30,AbsorbedPowerVar31,AbsorbedPowerVar32,AbsorbedPowerVar33,AbsorbedPowerVar34,AbsorbedPowerVar35,AbsorbedPowerVar36,CurrentVar1,CurrentVar2,CurrentVar3,CurrentVar4,CurrentVar5,CurrentVar6,CurrentVar7,CurrentVar8,CurrentVar9,CurrentVar10,CurrentVar11,CurrentVar12,CurrentVar13,CurrentVar14,CurrentVar15,CurrentVar16,CurrentVar17,CurrentVar18,CurrentVar19,CurrentVar20,CurrentVar21,CurrentVar22,CurrentVar23,CurrentVar24,CurrentVar25,CurrentVar26,CurrentVar27,CurrentVar28,CurrentVar29,CurrentVar30,CurrentVar31,CurrentVar32,CurrentVar33,CurrentVar34,CurrentVar35,CurrentVar36,CapacityFactor,AbsorbedPowerFactor,Current
9662,"RC2-320B",-7490.382,-11499.2,-280.0105,-3.485149,2059.521,557.4355,11.46969,0.3041519,-34.29267,-5.583951,-0.07957387,-0.003194304,226703.9,48602.93,899.2243999999999,5.031109,-5659.784,-1986.236,-30.92654,-0.6698334,68.80007999999999,19.89222,0.1566492,0.006572408,67596.71000000001,-25525.25,-294.5158,5.513546,2906.552,1378.837,11.51255,0.08317067,-60.00666,-14.66829,0,0,257.3066,-48.10177,56.55637,2.063829,276.2483,-8.917418,-0.9739447,-0.01620711,6.675604,0.03883385,0.005009232,0.0002823734,47309.41,1133.294,-148.0007,-6.098161,-1795.534,-29.87284,1.604563,0.01454742,12.32473,0.4711332,-0.009733383999999999,-0.000527242,-11222.65,-913.1217,87.57746,3.829552,1248.219,37.0159,-0.3627281,0.02180892,-2.552521,-0.4338562,0,0,7.82139,-8.860987,0.5743780000000001,0.02892392,5.50341,0.3890423,-0.008164309999999999,-0.0003081479,-0.01883971,-0.004482253,4.045814e-05,2.351304e-06,243.3439,34.48315,-1.839939,-0.09526563,-23.50571,-1.553475,0.01881553,0.0006501099,0.1616001,0.01751976,-5.971185e-05,-3.316655e-06,-127.5779,-26.2008,1.289087,0.06743225,17.48822,1.207576,-0.009969624999999999,-0.0002848631,-0.09713872,-0.01332538,0,0,1,1,1
9670,"RC2-340B",-3349.057,-230.787,116.0706,-0.8563314,3459.217,87.46375,-1.890623,0.306373,-51.56483,-0.6123405,0.02994672,-0.003903348,253467.9,10314.06,-410.2167,-1.94991,-10753.01,-326.2797,12.00816,-0.8464545999999999,126.8487,2.203439,-0.1833086,0.01124918,53817.46,3582.828,595.8452,6.90731,6462.114,116.8361,-15.51275,0.4329813,-100.7697,-1.215976,0.1935263,-0.006092192,522.5166,307.8969,83.30517,1.203316,531.075,-23.83941,-3.04248,-0.005325969,4.846029,0.2136608,0.03318985,0.0003593491,56397.5,-59.77079,-269.7435,-3.918748,-2958.937,20.29936,10.34909,0.02090627,24.28554,-0.1098916,-0.127798,-0.001396999,-19060.29,-27.19214,198.1522,2.917989,2218.582,0.06922435,-7.952659,-0.02120169,-12.3685,-0.004472915,0.1010669,0.00112459,8.177110000000001,0.9529079,0.8440858999999999,0.01435877,6.966439,-0.07036333,-0.03178444,-0.0001259918,-0.03618943,0.0005569433,0.0003662292,3.441561e-06,301.424,-0.7294631,-3.087237,-0.05283707,-30.74771,0.09714527000000001,0.1175858,0.0004692049,0.2494202,-0.0005465447,-0.001399275,-1.321619e-05,-181.9061,0.4374142,2.381337,0.04084151,23.74568,-0.04201683,-0.09229788,-0.0004204605,-0.1708695,0.0003573098,0.001104079,1.080386e-05,1,1,1
9671,"RC2-370B",-4670.739,-7325.296,21.0119,7.427669,3122.209,411.2247,4.45844,0.04555027,-47.84975,-4.074349,-0.04796141,-0.00165506,280737.9,37692.17,-19.13969,-29.6153,-9686.218000000001,-1548.692,-11.60491,0.03529244,112.1302,15.27058,0.09801317,0.003726158,59109.84,-16329.5,336.6961,28.17208,5714.629,1055.087,0.8186852,-0.2643481,-93.27267000000001,-11.35723,0,0,313.9745,-402.9356,63.19067,2.446799,441.2551,7.837638,-0.9588627,-0.01455227,6.949858,-0.1471999,0.004327844,0.0002685671,57654.51,2583.312,-167.0504,-7.374785,-2553.421,-100.0446,1.415053,0.006339487,18.12698,1.244962,-0.00778872,-0.0004572829,-16183.79,-2032.388,102.7021,4.861471,1826.917,92.75360999999999,-0.3162201,0.02326624,-6.265004,-1.038082,0,0,9.259134,-10.65536,0.6673865,0.03393534,6.415183,0.4695829,-0.009409872,-0.0003611867,-0.01936733,-0.005359932,4.664489e-05,2.732034e-06,281.2195,41.34758,-2.13902,-0.1117851,-27.44193,-1.866909,0.02155756,0.0007610865,0.1819086,0.02091458,-6.768688e-05,-3.793759e-06,-147.7782,-31.36706,1.501937,0.07926726000000001,20.43225,1.447871,-0.01148288,-0.0003395832,-0.1091739,-0.01589114,0,0,1,1,1
9663,"RC2-410B",-12741.42,-20684.44,-586.4358,-10.58675,2859.684,989.2289,21.44194,0.5856872,-47.91742,-10.0636,-0.1406848,-0.0058087,288793.5,81925.12,1818.687,23.36954,-7549.829,-3461.746,-57.32738,-1.321296,96.60902,35.24923,0.2748545,0.01176028,87412,-46962.27,-773.0916999999999,-1.439355,3914.503,2430.576,22.94195,0.2406896,-82.66685,-25.87459,0,0,198.3974,-164.7616,69.55846,2.526232,372.1975,-6.407328,-1.115274,-0.01464694,8.499598000000001,-0.007924667,0.005104357,0.0003003991,62517.2,1865.522,-182.1174,-7.558093,-2405.125,-58.7305,1.749164,0.005676585,16.99027,0.8363235999999999,-0.00996734,-0.0005569179,-15625.45,-1497.945,109.5335,4.868208,1692.355,63.89706,-0.3943233,0.02977999,-4.227695,-0.7413864,0,0,-0.4486699,-4.219398,0.08881583999999999,0.003918483,2.152186,0.1978079,-0.0004848844,5.42051e-06,-0.008725096,-0.002343944,-1.029284e-05,-3.317835e-07,228.8613,17.61529,-0.2610089,-0.01378218,-10.91539,-0.8460734,0.0007605242,3.43148e-06,0.1073426,0.009696646,2.273637e-05,9.166077e-07,-141.9308,-13.81735,0.2051599,0.01145433,8.136893000000001,0.6790919,-0.001729674,-6.667495e-05,-0.06405524,-0.007546443,0,0,1,1,1
9664,"RC2-470B",-6528.514,-2266.226,-106.6356,-8.591122,3634.066,149.1397,6.209322,0.6645213,-57.24814,-0.9336702,-0.02988628,-0.007508944,305192.3,17169.29,316.7867,23.12525,-9303.102999999999,-412.4424,-13.76862,-2.006529,110.693,2.007097,0.006137719,0.02266498,124526.2,3828.581,186.2709,-9.076214999999999,4273.167,98.02652999999999,0.8446131,1.197228,-85.64552,-0.5829973000000001,0.07290523,-0.01341188,649.691,419.5251,104.4353,1.622193,587.7143,-33.87047,-3.703454,-0.009607273,7.494234,0.2960441,0.03969247,0.0005068503,73855.48,-76.00047000000001,-329.6208,-5.173335,-3493.573,31.22226,12.30284,0.03330575,28.78663,-0.1600135,-0.15207,-0.001919624,-22452.66,-40.87819,238.1371,3.758402,2592.042,-2.210118,-9.328576999999999,-0.02803988,-13.14289,0.000483862,0.1194315,0.001492397,1.503844,0.6704589,0.3181762,0.003618513,2.678033,-0.04177914,-0.01387708,-8.941195e-05,-0.01299524,0.0003350209,0.0001514362,1.406113e-06,266.4138,-0.1337052,-1.13954,-0.01378135,-13.50544,0.02321607,0.05188875,0.0004062362,0.1350744,-3.140334e-05,-0.0005968594,-6.17082e-06,-168.9146,-0.1622036,0.8873651,0.01141603,10.15026,0.01100481,-0.04141014,-0.0003725365,-0.08390395,-4.771894e-05,0.0004811158,5.418679e-06,1,1,1
9672,"RC2-510B",-4164.756,612.0607,216.6147,-0.5148403,5159.049,90.74347,-4.014089,0.4372903,-76.81908,-0.5366704,0.048853,-0.005638664,383184.5,12713.92,-758.7536,-5.654604,-16524.85,-382.4816,22.01653,-1.180444,194.8665,2.321678,-0.2885341,0.01598103,70723.92,6838.122,992.9991,12.43535,10194.5,116.5498,-26.1747,0.5759536,-156.5361,-1.297688,0.3011664,-0.008394528,835.415,467.9597,124.2332,1.803999,775.0491,-35.95378,-4.525688,-0.007971865,7.228332,0.3252692,0.04911048,0.0005188025,82696.35000000001,-148.5671,-402.711,-5.866866,-4327.639,33.3803,15.39225,0.03009979,35.37464,-0.2049975,-0.1888663,-0.00200556,-27785.16,10.01862,295.8826,4.358391,3243.111,-2.764907,-11.82196,-0.03010662,-17.91722,0.02861539,0.1492822,0.00161022,1.829798,0.6534554,0.3693099,0.004243543,3.242852,-0.04104182,-0.01626758,-0.0001097117,-0.01706784,0.0003489432,0.0001778721,1.621612e-06,306.2906,-0.004151617,-1.337306,-0.01635349,-15.75747,0.01740461,0.06120064,0.0004954928,0.154968,-4.386063e-05,-0.0007009871,-7.136779e-06,-197.9832,-0.2238229,1.046296,0.01360109,11.81333,0.01387446,-0.04893278,-0.0004529507,-0.09788824,-1.141343e-05,0.0005653176,6.297146e-06,1,1,1
9665,"RC2-550B",-13445.71,-20557.19,-531.8748000000001,-7.282616,3526.692,987.9526,20.89006,0.5484295,-58.95672,-9.83605,-0.1399354,-0.00570589,377674.6,85287.05,1690.539,12.05503,-9136.023999999999,-3476.616,-56.20766,-1.196053,112.4024,34.61549,0.2729153,0.01152017,127219.2,-44916.1,-604.2051,7.310814,4361.739,2401.412,21.67876,0.1617145,-96.34941999999999,-25.36779,0,0,370.8026,-195.6659,95.24046,3.527962,479.9063,-9.764806999999999,-1.596918,-0.02624822,11.33346,0.006713585,0.007708486,0.0004469561,81548.7,2364.088,-250.0894,-10.53194,-3111.793,-71.74699,2.617523,0.02503433,21.61965,1.030556,-0.01496778,-0.0008322270000000001,-19767.49,-1890.697,149.6219,6.719967,2174.199,79.30092,-0.6349213,0.03249489,-4.849445,-0.9159399,0,0,-0.6503813000000001,-5.809749,0.1099577,0.004859593,3.014098,0.2729649,-0.0003993773,1.806491e-05,-0.01390527,-0.003217151,-1.573872e-05,-5.633063e-07,311.7738,24.04303,-0.3272054,-0.01742139,-14.86041,-1.155409,0.0005126137,-1.802251e-05,0.1466898,0.01320454,3.443962e-05,1.467441e-06,-194.8269,-18.82213,0.2644215,0.01485915,11.01882,0.9242205999999999,-0.002221176,-8.747143000000001e-05,-0.08791423,-0.01025651,0,0,1,1,1
9673,"RC2-580B",-3531.489,2841.889,363.0992,2.183799,6049.581,11.46693,-8.446965000000001,0.3950718,-89.78628999999999,0.3374493,0.08330905,-0.005257117,466654.9,10029.17,-1215.754,-15.33555,-20574.8,-228.7796,37.57688,-1.008394,242.3219,0.4308818,-0.4240603,0.01437061,60265.4,10516.89,1376.495,20.22129,13231.09,20.32179,-38.60688,0.4301468,-198.1545,-0.2907068,0.4123573,-0.006979409,903.8767,509.5365,132.5725,1.733479,863.9181,-39.57048,-4.726512,0.006757644,8.029893,0.357459,0.05101269,0.000388981,92160.95,-109.9497,-427.2171,-5.562535,-4823.285,34.82034,15.98328,-0.02208992,39.4331,-0.2034649,-0.1966994,-0.001559612,-31060.59,-42.56158,313.6062,4.164518,3616.273,-0.7196019,-12.29578,0.006365712,-20.0075,0.006352879,0.1559964,0.001307723,1.951418,0.8509439,0.3936309,0.004431656,3.298623,-0.05165893,-0.0171523,-0.0001037162,-0.01480246,0.0004413188,0.0001876974,1.656794e-06,321.4974,-0.2909789,-1.410967,-0.01678602,-16.66678,0.03241389,0.06405353,0.0004685775,0.1627638,-0.0001534168,-0.0007377838,-7.23096e-06,-205.5271,-0.1091878,1.097458,0.01383119,12.58392,0.01025134,-0.05101326,-0.0004292676,-0.1021873,1.984211e-05,0.0005932503999999999,6.328262e-06,1,1,1
9674,"RC2-620B",-7605.232,-10770.91,73.82096,13.32796,5082.13,613.5364,6.221557,0.04601399,-77.6228,-6.003058,-0.07388264999999999,-0.002630137,461266.4,57515.38,-163.6644,-52.80991,-15741.51,-2327.301,-15.59929,0.1644524,180.6257,22.66954,0.1494859,0.00580484,97872.42999999999,-23543.64,640.0555000000001,49.1036,9223.299000000001,1572.175,-0.5520923,-0.4959789,-150.1319,-16.86356,0,0,568.5234,-729.5508,107.4686,4.283832,714.3229,15.4627,-1.651374,-0.02896753,11.58462,-0.2636391,0.007012747,0.0004243125,94334.3,4493.668,-288.3552,-13.13873,-4152.163,-173.9336,2.625636,0.03177189,29.07403,2.126715,-0.01263878,-0.0007218556,-26315.29,-3533.235,179.6369,8.805987,2966.749,159.8683,-0.7613209,0.01996031,-9.750750999999999,-1.769875,0,0,-0.5466987,-7.002826,0.1314837,0.006249029,3.423515,0.3303204,-0.0006260761,1.480036e-06,-0.01410297,-0.003842868,-1.617966e-05,-5.107927e-07,347.2481,28.74963,-0.3927575,-0.02205405,-16.95451,-1.383145,0.0009610243,2.666822e-05,0.1624323,0.01567707,3.629185e-05,1.449114e-06,-218.6392,-22.46823,0.3134367,0.01833267,12.64055,1.102624,-0.002635161,-0.0001210348,-0.09834666,-0.01216769,0,0,1,1,1
9675,"RC2-710B",-9575.602000000001,-14925.08,13.67161,12.91496,5962.133,832.7606,9.42319,0.1322317,-91.23950000000001,-8.335289,-0.1002783,-0.003620802,536059.6,75479.84,35.0869,-53.28936,-18736.54,-3145.708,-24.22674,-0.02731137,217.5237,31.34668,0.2038344,0.007986717000000001,104156.2,-34311.53,603.1779,52.40098,11249.19,2169.166,2.112203,-0.4906609,-181.8642,-23.44631,0,0,413.2126,-733.7225,119.0449,4.627735,840.449,13.3465,-1.780862,-0.02611378,12.94235,-0.2597226,0.007516237,0.0004654053,109406.5,4789.066,-318.1025,-14.14923,-4859.038,-183.996,2.730106,0.01624838,34.76863,2.28965,-0.01399445,-0.0008126877,-31353.57,-3779.828,197.2895,9.429816000000001,3486.833,171.7936,-0.6969506,0.03703575,-12.39087,-1.918853,0,0,-0.07902144999999999,-8.066202000000001,0.173084,0.008409244999999999,4.098005,0.3761337,-0.001517944,-4.153957e-05,-0.01803052,-0.004322972,-1.364011e-05,-3.695314e-07,397.9483,32.50415,-0.529959,-0.02921238,-18.98269,-1.549722,0.003522092,0.0001527199,0.1786921,0.01741078,3.308526e-05,1.288666e-06,-242.7152,-24.92363,0.4156571,0.02350189,13.70919,1.213779,-0.004411265,-0.0002061147,-0.1039238,-0.01328956,0,0,1,1,1
