IdFanModel,Model,Voltage,Frequency,Xmin,Xmax,Giri,PotenzaAssorbita,CorrenteAssorbita,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,PotenzaSonora,PressioneSonora
1,"FB035-4E_.2C._P",230,50,1812.15,2626.71,1390,160,0.75,1812.15,1910.13,1974.68,2054.43,2137.97,2213.92,2301.27,2377.22,2460.76,2544.3,2626.71,58.75,54.95,51.95,48.05,43.39,37.99,31.83,25.23,17.42,9.31,0.12,0,0
2,"FB035-4E_.2C._P",160,50,1590.76,2455.44,1250,105,0.68,1590.76,1678.48,1762.03,1853.92,1933.29,2016.84,2104.56,2192.28,2275.82,2367.72,2455.44,44.05,42.24,40.09,37.28,33.98,30.68,25.89,20.77,14.82,7.72,0.29,0,0
3,"FB035-4E_.2C._P",130,50,1177.22,2083.67,930,80,0.68,1177.22,1269.11,1352.66,1444.56,1536.46,1632.53,1720.25,1807.97,1899.87,1991.77,2083.67,24.23,22.58,21.1,18.95,16.8,14.49,11.85,9.199999999999999,6.4,3.26,0.12,0,0
4,"FB035-4E_.2C._P",105,50,858.23,1412.66,660,54,0.58,858.23,911.39,964.5599999999999,1026.84,1082.53,1138.23,1185.57,1244.05,1302.53,1361.01,1412.66,11.41,10.81,9.91,9.15,8.49,7.61,6.73,5.24,3.75,1.94,0,0,0
5,"FB035-4E_.2C._S",230,50,2187.69,2859.41,1350,185,0.84,2187.69,2251.23,2314.77,2388.9,2452.39,2526.47,2584.63,2658.66,2722.07,2796.05,2859.41,45.18,42.5,39.66,36.66,32.71,28.61,24.19,18.82,13.14,6.67,-0.11,0,0
6,"FB035-4E_.2C._S",160,50,1704.17,2376.65,1050,120,0.8,1704.17,1773.03,1836.59,1905.44,1974.27,2043.11,2101.35,2175.47,2238.99,2307.82,2376.65,28.01,25.8,23.43,20.9,17.9,15.06,12.38,9.06,5.91,2.91,-0.09,0,0
7,"FB035-4E_.2C._S",130,50,1217.2,1637.49,730,82,0.7,1217.2,1258.41,1299.62,1344.95,1386.17,1427.38,1468.58,1509.79,1555.1,1596.29,1637.49,12.87,11.76,10.53,9.43,8.449999999999999,7.34,5.87,4.64,3.04,1.44,-0.03,0,0
8,"FB035-4E_.2C._S",105,50,870.33,1150.61,520,52,0.58,870.33,899.1900000000001,928.0599999999999,952.78,977.52,1010.51,1039.35,1068.2,1097.05,1125.89,1150.61,6.75,6.26,5.89,5.27,4.78,4.29,3.43,2.69,1.83,0.97,0.16,0,0
9,"FB035-6E_.2C._S",230,50,1499.18,1935.75,920,80,0.4,1499.18,1540.36,1585.67,1626.85,1676.28,1717.46,1762.77,1803.95,1849.26,1890.44,1935.75,22,20.51,18.86,16.9,14.77,12.97,10.61,8.17,5.74,3.06,0.16,0,0
10,"FB035-6E_.2C._S",160,50,1341.77,1789.27,850,54,0.36,1341.77,1387.44,1430.06,1475.72,1518.34,1567.04,1606.62,1652.28,1697.94,1743.61,1789.27,18.6,17.32,15.98,14.42,12.73,10.76,9.01,6.86,4.72,2.51,0.07000000000000001,0,0
