IdFanModel,Model,Voltage,Frequency,Giri,PotenzaAssorbita,CorrenteAssorbita,Xmin,Xmax,Coeff1,Coeff2,Coeff3,Coeff4,Coeff5,PotenzaSonora,PressioneSonora
1,"FB035-4E_.2C._P",230,50,1390,160,0.75,1812.15,2626.71,0,0,0,0,0,0,0
2,"FB035-4E_.2C._P",160,50,1250,105,0.68,1590.76,2455.44,0,0,0,0,0,0,0
3,"FB035-4E_.2C._P",130,50,930,80,0.68,1177.22,2083.67,0,0,0,0,0,0,0
4,"FB035-4E_.2C._P",105,50,660,54,0.58,858.23,1412.66,0,0,0,0,0,0,0
5,"FB035-4E_.2C._S",230,50,1350,185,0.84,2187.69,2859.41,0,0,0,0,0,0,0
6,"FB035-4E_.2C._S",160,50,1050,120,0.8,1704.17,2376.65,0,0,0,0,0,0,0
7,"FB035-4E_.2C._S",130,50,730,82,0.7,1217.2,1637.49,0,0,0,0,0,0,0
8,"FB035-4E_.2C._S",105,50,520,52,0.58,870.33,1150.61,0,0,0,0,0,0,0
9,"FB035-6E_.2C._S",230,50,920,80,0.4,1499.18,1935.75,0,0,0,0,0,0,0
10,"FB035-6E_.2C._S",160,50,850,54,0.36,1341.77,1789.27,0,0,0,0,0,0,0
11,"FB035-6E_.2C._S",130,50,660,45,0.39,1082.51,1479.27,0,0,0,0,0,0,0
12,"FB035-6E_.2C._S",105,50,440,32,0.35,678.75,958.8099999999999,0,0,0,0,0,0,0
13,"FB040-4E_.2F._P",230,50,1370,230,0.115,2721.01,3775.65,0,0,0,0,0,0,0
14,"FB040-4E_.2F._P",160,50,1050,165,0.12,2073.8,3339.49,0,0,0,0,0,0,0
15,"FB040-4E_.2F._P",130,50,720,115,0.105,1392.24,2281.06,0,0,0,0,0,0,0
16,"FB040-4E_.2F._P",105,50,520,73,0.7,997.35,1559.94,0,0,0,0,0,0,0
17,"FB040-4E_.2F._S",230,50,1320,280,0.135,2870.86,4040.14,0,0,0,0,0,0,0
18,"FB040-4E_.2F._S",160,50,800,190,0.14,1770.13,2687.61,0,0,0,0,0,0,0
19,"FB040-4E_.2F._S",130,50,570,120,0.115,1216.99,1794.07,0,0,0,0,0,0,0
20,"FB040-4E_.2F._S",105,50,430,75,0.1,993.6,1384.53,0,0,0,0,0,0,0
21,"FB040-6E_.2C._P",230,50,920,100,0.44,1820.63,2550,0,0,0,0,0,0,0
22,"FB040-6E_.2C._P",160,50,810,65,0.42,1565.1,2352.04,0,0,0,0,0,0,0
23,"FB040-6E_.2C._P",130,50,560,51,0.43,1107.99,1798.43,0,0,0,0,0,0,0
24,"FB040-6E_.2C._P",105,50,390,35,0.37,788.23,1216.29,0,0,0,0,0,0,0
25,"FB040-6E_.2C._S",230,50,900,110,0.48,1996.75,2725.89,0,0,0,0,0,0,0
26,"FB040-6E_.2C._S",160,50,690,72,0.48,1492.33,2171.33,0,0,0,0,0,0,0
27,"FB040-6E_.2C._S",130,50,420,53,0.43,1033.99,1469.52,0,0,0,0,0,0,0
28,"FB040-6E_.2C._S",105,50,340,33,0.35,709.3099999999999,992.33,0,0,0,0,0,0,0
29,"FB050-4E_.4F._L",230,50,1300,490,0.22,4514.38,6611.51,0,0,0,0,0,0,0
30,"FB050-4E_.4F._L",160,50,1060,350,0.23,3616.82,5885.67,0,0,0,0,0,0,0
31,"FB050-4E_.4F._L",130,50,810,270,0.22,2834.64,5121.16,0,0,0,0,0,0,0
32,"FB050-4E_.4F._L",105,50,610,190,0.19,2071.23,3872.73,0,0,0,0,0,0,0
33,"FB050-4E_.4I._P",230,50,1240,540,0.24,4734.78,7098.43,0,0,0,0,0,0,0
34,"FB050-4E_.4I._P",160,50,960,380,0.25,3674.85,5879.51,0,0,0,0,0,0,0
35,"FB050-4E_.4I._P",130,50,750,280,0.23,2879.9,4755.98,0,0,0,0,0,0,0
36,"FB050-4E_.4I._P",105,50,580,200,0.2,2148.55,3653.65,0,0,0,0,0,0,0
37,"FB050-6E_.4C._L",230,50,880,175,0.83,2995.78,4435.4,0,0,0,0,0,0,0
38,"FB050-6E_.4C._L",160,50,630,125,0.85,2078.31,3903.07,0,0,0,0,0,0,0
39,"FB050-6E_.4C._L",130,50,420,85,0.76,1493.2,2854.55,0,0,0,0,0,0,0
40,"FB050-6E_.4C._L",105,50,320,56,0.62,1058.12,1935.08,0,0,0,0,0,0,0
41,"FB050-6E_.4F._P",230,50,910,230,0.105,3558.92,5130.73,0,0,0,0,0,0,0
42,"FB050-6E_.4F._P",160,50,740,170,0.115,2818.11,4602.5,0,0,0,0,0,0,0
43,"FB050-6E_.4F._P",130,50,490,125,0.11,1993.56,3455.85,0,0,0,0,0,0,0
44,"FB050-6E_.4F._P",105,50,370,83,0.9,1491.1,2367.18,0,0,0,0,0,0,0
