IdFanModel,Model,Voltage,Frequency,Link,Giri,PotenzaAssorbita,CorrenteAssorbita,Xmin,Xmax,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,PotenzaSonora,PressioneSonora
1,"FB035-SD_.2C._P",0,50,0,790,28,0.06,983.61,1488.52,983.61,1032.79,1085.25,1134.43,1183.61,1232.79,1281.97,1337.71,1386.89,1442.62,1488.52,16.17,15.55,14.69,13.75,12.5,11.17,9.69,7.58,5.39,2.5,0,0,0
2,"FB035-SD_.2C._P",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"FB035-SD_.2C._S",0,50,0,920,58,0.16,1513.04,1909.57,1513.04,1552.86,1592.4,1631.95,1671.49,1711.03,1750.57,1794.51,1834.05,1864.81,1909.57,21.99,20.75,19.09,17.43,15.68,13.58,11.49,8.949999999999999,6.68,3.63,0.1,0,0
4,"FB035-SD_.2C._S",0,50,1,760,39,0.08,1262.88,1636.34,1262.88,1298.03,1333.18,1372.72,1412.27,1443.02,1482.56,1522.11,1561.65,1596.8,1636.34,15.85,15.16,14.2,13.06,11.75,10.35,8.6,6.94,4.5,2.4,0.13,0,0
5,"FB035-VD_.2C._P",0,50,0,920,58,0.16,1803.14,2644.6,1803.14,1881.53,1970.38,2054.01,2132.4,2221.25,2304.88,2398.95,2477.35,2555.75,2644.6,55.17,52.89,50,47.31,43.18,38.64,32.85,26.03,19.42,10.95,0.41,0,0
6,"FB035-VD_.2C._P",0,50,1,760,39,0.08,1369.34,2221.25,1369.34,1447.74,1541.81,1620.21,1709.06,1797.91,1881.53,1959.93,2048.78,2137.63,2221.25,35.12,33.68,32.02,30.58,28.31,25.41,22.11,18.18,13.22,7.02,0.41,0,0
7,"FB035-VD_.2C._S",0,50,0,1380,170,0.37,2240.73,2985.75,2240.73,2311.69,2387.71,2463.73,2539.75,2605.64,2686.73,2757.68,2828.63,2904.66,2985.75,48.62,46.06,42.89,38.98,35.22,31.3,26.18,20.91,15.19,7.81,0.43,0,0
8,"FB035-VD_.2C._S",0,50,1,1180,125,0.2,1921.44,2570.16,1921.44,1987.33,2053.22,2114.03,2174.85,2240.73,2311.69,2367.44,2438.39,2499.21,2570.16,34.76,32.35,29.64,26.93,23.77,20.61,16.85,13.38,9.32,4.8,0.43,0,0
9,"FB040-SD_.2C._P",0,50,0,920,80,0.21,1852.17,2561.74,1852.17,1920,1998.26,2066.09,2133.91,2201.74,2280,2353.04,2420.87,2488.7,2561.74,30.75,28.57,26.6,24.43,21.74,18.94,15.73,12.11,8.390000000000001,4.24,0.21,0,0
10,"FB040-SD_.2C._P",0,50,1,770,54,0.11,1518.26,2191.3,1518.26,1580.87,1653.91,1721.74,1789.57,1857.39,1920,1987.83,2055.65,2118.26,2191.3,20.7,19.67,18.12,16.56,15.11,13.04,11.08,8.800000000000001,6.31,3.31,0.1,0,0
11,"FB040-SD_.2C._S",400,50,0,920,100,0.27,1999.11,2738.9,1999.11,2075.11,2140.98,2211.92,2303.13,2369,2439.94,2521.01,2586.89,2667.96,2738.9,30.2,27.94,25.75,23.34,20.33,17.54,14.08,10.77,7.45,3.46,0.22,0,0
12,"FB040-SD_.2C._S",400,50,1,730,64,0.12,1573.47,2201.79,1573.47,1634.28,1700.15,1760.95,1826.83,1882.56,1953.5,2014.31,2080.18,2140.98,2201.79,19.58,18.07,16.49,14.91,12.95,10.99,8.960000000000001,6.92,4.67,2.48,0.22,0,0
13,"FB040-VD_.2C._L",400,50,0,1350,150,0.29,2317.51,3325.7,2317.51,2409.17,2520.46,2618.66,2723.4,2821.6,2906.71,3018,3129.3,3227.5,3325.7,66.56,62.58,57.19,52.5,46.17,40.55,33.75,25.55,17.58,8.91,0.23,0,0
14,"FB040-VD_.2C._L",400,50,1,1070,110,0.18,1813.42,2860.88,1813.42,1911.62,2016.37,2127.66,2238.95,2343.7,2435.35,2540.1,2644.84,2756.14,2860.88,44.06,40.55,36.8,33.28,29.06,25.31,21.09,16.17,11.72,6.33,0.47,0,0
15,"FB040-VD_.2C._P",400,50,0,1330,175,0.33,2725.04,3617.02,2725.04,2806.87,2896.89,2995.09,3076.92,3166.94,3248.77,3346.97,3436.99,3518.82,3617.02,55.45,51.95,47.86,43.58,39.11,34.63,28.6,22.18,15.56,8.75,0.58,0,0
16,"FB040-VD_.2C._P",400,50,1,980,135,0.21,1822.95,2872.13,1822.95,1921.31,2026.23,2131.15,2242.62,2340.98,2445.9,2557.38,2662.3,2760.66,2872.13,43.27,40.23,36.96,32.98,29.01,25.26,20.82,16.14,11.23,5.85,0.47,0,0
17,"FB040-VD_.2F._S",400,50,0,1370,250,0.5,3080.62,4140.76,3080.62,3186.77,3292.89,3390.8,3505.08,3611.11,3717.06,3823.04,3920.76,4034.87,4140.76,64.65000000000001,60.44,55.99,50.84,45.92,39.6,32.11,25.08,16.66,8.699999999999999,0.04,0,0
18,"FB040-VD_.2F._S",400,50,1,1150,190,0.3,2500.72,3522.56,2500.72,2601.75,2702.76,2803.75,2904.69,3005.62,3112.85,3207.43,3308.27,3409.13,3522.56,45.14,42.6,39.7,36.45,32.28,27.94,23.24,18.53,12.74,7.13,0.26,0,0
19,"FB050-AD_.4C._P",400,50,0,680,105,0.27,2692.94,3711,2692.94,2791.46,2898.19,2996.72,3087.03,3201.97,3300.49,3390.8,3497.54,3596.06,3711,26.46,24.71,22.96,21.11,19.16,17.02,14.79,11.58,7.98,4.47,0.1,0,0
20,"FB050-AD_.4C._P",400,50,1,550,66,0.13,2101.81,3136.29,2101.81,2208.54,2298.85,2413.79,2504.1,2610.84,2717.57,2816.09,2931.03,3021.35,3136.29,16.93,16.05,15.08,14.01,12.84,11.28,9.73,7.68,5.45,3.02,0,0,0
21,"FB050-SD_.4C._L",400,50,0,680,105,0.27,3092.51,4536.67,3092.51,3231.63,3377.37,3529.73,3662.22,3814.59,3960.33,4099.45,4245.19,4390.93,4536.67,49.53,46.38,42.97,39.05,35.14,30.09,24.54,18.98,12.92,6.48,0.42,0,0
22,"FB050-SD_.4C._L",400,50,1,550,66,0.13,2496.3,4000.08,2496.3,2648.66,2794.4,2946.77,3092.51,3244.88,3390.62,3549.61,3695.35,3847.71,4000.08,30.09,28.7,26.93,24.79,22.52,19.74,16.58,13.17,9.26,4.84,0.17,0,0
23,"FB050-SD_.4C._P",400,50,0,890,220,0.55,3441.51,4930.81,3441.51,3592.83,3736.19,3879.54,4030.86,4182.18,4341.46,4476.85,4628.17,4787.46,4930.81,46.79,43.77,40.61,37.2,33.17,28.88,24.21,18.78,13.1,6.92,0.23,0,0
24,"FB050-SD_.4C._P",400,50,1,630,130,0.27,2503.25,3803.75,2503.25,2635.06,2766.86,2889.89,3012.91,3144.71,3276.52,3417.12,3548.92,3671.95,3803.75,23.16,21.76,20.08,17.99,15.89,13.79,11.28,8.619999999999999,5.83,3.17,0.1,0,0
25,"FB050-SD_.4F._S",400,50,0,910,280,0.67,3973.79,5603.89,3973.79,4131.34,4302.05,4446.59,4604.22,4788.15,4945.91,5090.62,5261.58,5432.67,5603.89,47.7,44.59,41.02,37.29,33.55,29.04,24.38,19.4,13.95,7.58,0.26,0,0
26,"FB050-SD_.4F._S",400,50,1,700,190,0.38,2990.16,4504.92,2990.16,3146.94,3288.82,3440.83,3592.85,3744.86,3896.87,4048.88,4200.89,4352.91,4504.92,26.77,25.01,23.33,21.4,19.24,16.83,14.18,11.06,7.69,4.08,0.01,0,0
27,"FB050-VD_.4F._L",400,50,0,910,280,0.67,4819.38,6778.13,4819.38,5015.25,5211.13,5398.1,5593.98,5798.76,5985.73,6181.6,6386.38,6582.26,6778.13,110.8,102.94,95.08,85.31999999999999,75.56,65.08,53.41,40.79,27.46,14.12,0.55,0,0
28,"FB050-VD_.4F._L",400,50,1,700,190,0.38,3920.13,6003.54,3920.13,4116.01,4338.59,4552.27,4748.15,4952.93,5157.71,5371.39,5585.07,5780.95,6003.54,75.08,70.8,64.59999999999999,58.65,52.22,44.84,36.98,28.88,19.84,10.79,0.78,0,0
29,"FB050-VD_.4I._P",400,50,0,1360,590,1.05,5261.44,7625.27,5261.44,5495.64,5738.7,5958.61,6201.66,6444.72,6676.2,6907.68,7150.74,7393.79,7625.27,109.47,103.41,96.45,89.48999999999999,80.79000000000001,71.59,60.66,48.73,33.82,17.66,0.51,0,0
30,"FB050-VD_.4I._P",400,50,1,1080,460,0.78,3993.45,6464.81,3993.45,4238.95,4484.45,4713.58,4975.45,5220.95,5466.45,5711.95,5957.45,6219.31,6464.81,68.64,65.48999999999999,61.63,57.43,52.88,46.93,39.92,31.52,22.41,11.91,0.7,0,0
31,"FB050-VD_.4I._S",400,50,0,1340,720,1.3,5729.41,8052.71,5729.41,5946.29,6199.3,6428.24,6657.04,6897.85,7114.49,7343.15,7595.79,7824.27,8052.71,100.12,93.37,85.31999999999999,78.31,69.48,59.88,50.02,39.38,26.4,13.42,-0.07000000000000001,0,0
32,"FB050-VD_.4I._S",400,50,1,980,500,0.88,4179.85,6192.81,4179.85,4372.83,4577.87,4770.83,4987.91,5192.86,5385.74,5578.53,5783.33,5988.09,6192.81,51.94,48.56,44.92,41.28,37.12,32.45,27.77,21.8,15.05,7.78,0,0,0
33,"FB056-AD_.4F._P",400,50,0,650,165,0.43,3606.7,5111.8,3606.7,3745.22,3893.63,4051.95,4210.3,4358.83,4497.47,4655.93,4814.43,4953.24,5111.8,30.8,28.66,26.33,23.8,21.08,18.07,15.15,11.75,8.15,4.26,0.28,0,0
34,"FB056-AD_.4F._P",400,50,1,500,94,0.2,2720.69,4124.96,2720.69,2859.03,2987.53,3145.63,3274.16,3412.61,3551.06,3689.55,3837.96,3986.39,4124.96,17.94,16.88,15.61,14.35,12.89,11.14,9.4,7.45,5.12,2.69,0.26,0,0
35,"FB056-SD_.4F._L",400,50,0,920,270,0.68,4321.84,6200.33,4321.84,4505.75,4689.66,4886.7,5057.47,5254.52,5438.42,5622.33,5819.38,6003.28,6200.33,58.17,54.89,49.9,45.85,41.48,36.34,30.57,24.02,17.47,9.82,0.16,0,0
36,"FB056-SD_.4F._L",400,50,1,690,180,0.38,3349.75,5267.65,3349.75,3533.66,3717.57,3927.75,4111.66,4295.57,4492.61,4689.66,4886.7,5083.74,5267.65,33.22,30.88,28.85,26.35,24.33,21.21,18.09,14.97,10.92,6.24,0.31,0,0
37,"FB056-SD_.4F._P",400,50,0,910,350,0.83,4983.61,7095.08,4983.61,5193.44,5403.28,5613.11,5809.84,6032.79,6255.74,6465.57,6675.41,6885.25,7095.08,57.31,53.8,49.71,45.61,40.35,35.28,28.85,22.42,15.98,8.19,0.19,0,0
38,"FB056-SD_.4F._P",400,50,1,670,230,0.46,3632.79,5822.95,3632.79,3855.74,4052.46,4275.41,4498.36,4721.31,4944.26,5154.1,5363.93,5586.88,5822.95,30.21,27.88,25.73,23.2,20.47,17.54,14.23,11.31,7.99,4.09,0.19,0,0
39,"FB056-SD_.4I._S",400,50,0,870,370,0.7,5131.58,7342.11,5131.58,5355.26,5565.79,5776.32,6013.16,6236.84,6460.53,6657.89,6881.58,7118.42,7342.11,52.87,49.43,46,42.42,38.36,32.9,27.45,21.83,15.75,8.42,0.31,0,0
40,"FB056-SD_.4I._S",400,50,1,670,240,0.42,4000,5868.42,4000,4184.21,4368.42,4552.63,4736.84,4921.05,5105.26,5302.63,5473.68,5671.05,5868.42,34,31.81,29.63,26.82,23.86,20.74,17.31,13.41,9.51,5.3,0.31,0,0
41,"FB056-VD_.4I._L",400,50,0,1370,760,1.45,6521.74,9356.52,6521.74,6782.61,7078.26,7373.91,7634.78,7930.43,8208.700000000001,8486.959999999999,8782.610000000001,9060.870000000001,9356.52,128.57,120.37,111.06,101.74,90.93000000000001,77.52,65.22,51.8,35.03,19.38,1.12,0,0
42,"FB056-VD_.4I._L",400,50,1,1110,580,0.97,5217.39,8191.3,5217.39,5495.65,5808.7,6086.96,6400,6678.26,6973.91,7286.96,7582.61,7895.65,8191.3,82.36,77.14,71.55,66.70999999999999,60.37,53.29,45.09,36.89,26.46,14.91,0.75,0,0
43,"FB063-AD_.4F._L",400,50,0,640,200,0.51,4406.99,6436.79,4406.99,4616.73,4800.21,5023.01,5219.47,5415.87,5625.42,5834.89,6018.13,6227.45,6436.79,34.25,31.92,29.58,26.77,23.62,20.12,16.73,12.87,9.25,4.58,0.02,0,0
44,"FB063-AD_.4F._L",400,50,1,450,115,0.24,3248.17,5215.11,3248.17,3444.96,3641.74,3825.37,4035.2,4218.77,4415.44,4612.1,4821.85,5018.5,5215.11,18.98,17.58,16.17,14.65,12.78,10.91,8.92,6.82,4.48,2.38,0.04,0,0
45,"FB063-AD_.4F._P",400,50,0,630,250,0.61,4835.53,7055.92,4835.53,5049.34,5263.16,5493.42,5707.24,5937.5,6151.32,6381.58,6611.84,6825.66,7055.92,31.46,29.47,27.13,24.8,21.64,18.48,15.32,11.81,7.84,4.09,0.23,0,0
46,"FB063-AD_.4F._P",400,50,1,440,130,0.28,3453.95,5213.82,3453.95,3618.42,3799.34,3980.26,4144.74,4325.66,4490.13,4671.05,4851.97,5016.45,5213.82,16.61,15.2,14.04,12.75,11.11,9.710000000000001,8.07,6.2,4.44,2.57,0.35,0,0
47,"FB063-AD_.4I._S",400,50,0,650,340,0.6899999999999999,5896.01,7828.84,5896.01,6077.34,6258.83,6473.27,6654.94,6852.96,7034.75,7249.62,7431.62,7613.7,7828.84,30.95,29.49,27.45,25.21,22.48,20.14,17.03,13.23,9.33,5.14,0.37,0,0
