IdFanModel,Model,Voltage,Frequency,Link,Giri,PotenzaAssorbita,CorrenteAssorbita,Xmin,Xmax,Coeff1,Coeff2,Coeff3,Coeff4,Coeff5,PotenzaSonora,PressioneSonora
1,"FB035-SD_.2C._P",0,50,0,790,28,0.06,983.61,1488.52,0,0,0,0,0,0,0
2,"FB035-SD_.2C._P",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,"FB035-SD_.2C._S",0,50,0,920,58,0.16,1513.04,1909.57,0,0,0,0,0,0,0
4,"FB035-SD_.2C._S",0,50,1,760,39,0.08,1262.88,1636.34,0,0,0,0,0,0,0
5,"FB035-VD_.2C._P",0,50,0,920,58,0.16,1803.14,2644.6,0,0,0,0,0,0,0
6,"FB035-VD_.2C._P",0,50,1,760,39,0.08,1369.34,2221.25,0,0,0,0,0,0,0
7,"FB035-VD_.2C._S",0,50,0,1380,170,0.37,2240.73,2985.75,0,0,0,0,0,0,0
8,"FB035-VD_.2C._S",0,50,1,1180,125,0.2,1921.44,2570.16,0,0,0,0,0,0,0
9,"FB040-SD_.2C._P",0,50,0,920,80,0.21,1852.17,2561.74,0,0,0,0,0,0,0
10,"FB040-SD_.2C._P",0,50,1,770,54,0.11,1518.26,2191.3,0,0,0,0,0,0,0
11,"FB040-SD_.2C._S",400,50,0,920,100,0.27,1999.11,2738.9,0,0,0,0,0,0,0
12,"FB040-SD_.2C._S",400,50,1,730,64,0.12,1573.47,2201.79,0,0,0,0,0,0,0
13,"FB040-VD_.2C._L",400,50,0,1350,150,0.29,2317.51,3325.7,0,0,0,0,0,0,0
14,"FB040-VD_.2C._L",400,50,1,1070,110,0.18,1813.42,2860.88,0,0,0,0,0,0,0
15,"FB040-VD_.2C._P",400,50,0,1330,175,0.33,2725.04,3617.02,0,0,0,0,0,0,0
16,"FB040-VD_.2C._P",400,50,1,980,135,0.21,1822.95,2872.13,0,0,0,0,0,0,0
17,"FB040-VD_.2F._S",400,50,0,1370,250,0.5,3080.62,4140.76,0,0,0,0,0,0,0
18,"FB040-VD_.2F._S",400,50,1,1150,190,0.3,2500.72,3522.56,0,0,0,0,0,0,0
19,"FB050-AD_.4C._P",400,50,0,680,105,0.27,2692.94,3711,0,0,0,0,0,0,0
20,"FB050-AD_.4C._P",400,50,1,550,66,0.13,2101.81,3136.29,0,0,0,0,0,0,0
21,"FB050-SD_.4C._L",400,50,0,680,105,0.27,3092.51,4536.67,0,0,0,0,0,0,0
22,"FB050-SD_.4C._L",400,50,1,550,66,0.13,2496.3,4000.08,0,0,0,0,0,0,0
23,"FB050-SD_.4C._P",400,50,0,890,220,0.55,3441.51,4930.81,0,0,0,0,0,0,0
24,"FB050-SD_.4C._P",400,50,1,630,130,0.27,2503.25,3803.75,0,0,0,0,0,0,0
25,"FB050-SD_.4F._S",400,50,0,910,280,0.67,3973.79,5603.89,0,0,0,0,0,0,0
26,"FB050-SD_.4F._S",400,50,1,700,190,0.38,2990.16,4504.92,0,0,0,0,0,0,0
27,"FB050-VD_.4F._L",400,50,0,910,280,0.67,4819.38,6778.13,0,0,0,0,0,0,0
28,"FB050-VD_.4F._L",400,50,1,700,190,0.38,3920.13,6003.54,0,0,0,0,0,0,0
29,"FB050-VD_.4I._P",400,50,0,1360,590,1.05,5261.44,7625.27,0,0,0,0,0,0,0
30,"FB050-VD_.4I._P",400,50,1,1080,460,0.78,3993.45,6464.81,0,0,0,0,0,0,0
31,"FB050-VD_.4I._S",400,50,0,1340,720,1.3,5729.41,8052.71,0,0,0,0,0,0,0
32,"FB050-VD_.4I._S",400,50,1,980,500,0.88,4179.85,6192.81,0,0,0,0,0,0,0
33,"FB056-AD_.4F._P",400,50,0,650,165,0.43,3606.7,5111.8,0,0,0,0,0,0,0
34,"FB056-AD_.4F._P",400,50,1,500,94,0.2,2720.69,4124.96,0,0,0,0,0,0,0
35,"FB056-SD_.4F._L",400,50,0,920,270,0.68,4321.84,6200.33,0,0,0,0,0,0,0
36,"FB056-SD_.4F._L",400,50,1,690,180,0.38,3349.75,5267.65,0,0,0,0,0,0,0
37,"FB056-SD_.4F._P",400,50,0,910,350,0.83,4983.61,7095.08,0,0,0,0,0,0,0
38,"FB056-SD_.4F._P",400,50,1,670,230,0.46,3632.79,5822.95,0,0,0,0,0,0,0
39,"FB056-SD_.4I._S",400,50,0,870,370,0.7,5131.58,7342.11,0,0,0,0,0,0,0
40,"FB056-SD_.4I._S",400,50,1,670,240,0.42,4000,5868.42,0,0,0,0,0,0,0
41,"FB056-VD_.4I._L",400,50,0,1370,760,1.45,6521.74,9356.52,0,0,0,0,0,0,0
42,"FB056-VD_.4I._L",400,50,1,1110,580,0.97,5217.39,8191.3,0,0,0,0,0,0,0
43,"FB063-AD_.4F._L",400,50,0,640,200,0.51,4406.99,6436.79,0,0,0,0,0,0,0
44,"FB063-AD_.4F._L",400,50,1,450,115,0.24,3248.17,5215.11,0,0,0,0,0,0,0
45,"FB063-AD_.4F._P",400,50,0,630,250,0.61,4835.53,7055.92,0,0,0,0,0,0,0
46,"FB063-AD_.4F._P",400,50,1,440,130,0.28,3453.95,5213.82,0,0,0,0,0,0,0
47,"FB063-AD_.4I._S",400,50,0,650,340,0.6899999999999999,5896.01,7828.84,0,0,0,0,0,0,0
48,"FB063-AD_.4I._S",400,50,1,480,230,0.4,4288.04,5953.82,0,0,0,0,0,0,0
49,"FB063-SD_.4I._L",400,50,0,890,390,0.7,6025.35,8786.889999999999,0,0,0,0,0,0,0
50,"FB063-SD_.4I._L",400,50,1,700,280,0.46,4661.29,7491.84,0,0,0,0,0,0,0
51,"FB063-SD_.4I._P",400,50,0,890,500,0.89,6798.03,9812.809999999999,0,0,0,0,0,0,0
52,"FB063-SD_.4I._P",400,50,1,680,350,0.57,5320.2,8039.41,0,0,0,0,0,0,0
53,"FB063-SD_.4I._S",400,50,0,890,670,1.25,7977.01,10528.74,0,0,0,0,0,0,0
54,"FB063-SD_.4I._S",400,50,1,680,470,0.77,6045.98,8436.780000000001,0,0,0,0,0,0,0
55,"FB063-VD_.4M._L",400,50,0,1300,1100,2.2,7780.18,12545.46,0,0,0,0,0,0,0
56,"FB063-VD_.4M._L",400,50,1,910,650,1.25,5414.82,10041.34,0,0,0,0,0,0,0
57,"FC031-2D_.3B._",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"FC031-2D_.3B._",400,50,1,2690,510,0.79,2272.5,3767.12,0,0,0,0,0,0,0
59,"FC056-SD_.4F._",400,50,0,860,390,0.8100000000000001,5110.76,8651.32,0,0,0,0,0,0,0
60,"FC056-SD_.4F._",400,50,1,560,210,0.43,3195.7,5953.96,0,0,0,0,0,0,0
61,"FC056-VD_.4I._",400,50,0,1220,1000,1.8,7373.55,12327.34,0,0,0,0,0,0,0
62,"FC056-VD_.4I._",400,50,1,910,600,0.95,5371.89,9463.23,0,0,0,0,0,0,0
63,"FC056-VD_.6K._",400,50,0,1320,1220,2.5,8675.41,13265.57,0,0,0,0,0,0,0
64,"FC056-VD_.6K._",400,50,1,1030,780,1.45,7206.56,10718.03,0,0,0,0,0,0,0
65,"FC063-SD_.4I._",400,50,0,900,600,1.35,7826.23,12163.93,0,0,0,0,0,0,0
66,"FC063-SD_.4I._",400,50,1,680,400,0.78,5026.23,9019.67,0,0,0,0,0,0,0
67,"FC063-VD_.6K._",400,50,0,1340,1900,3.2,12032.79,18721.31,0,0,0,0,0,0,0
68,"FC063-VD_.6K._",400,50,1,1070,1350,2.2,10163.93,15606.56,0,0,0,0,0,0,0
69,"FC071-AD_.6F._",400,50,0,640,420,1.1,7921.05,12180.92,0,0,0,0,0,0,0
70,"FC071-AD_.6F._",400,50,1,480,240,0.48,5986.84,9348.68,0,0,0,0,0,0,0
71,"FC071-SD_.6K._",400,50,0,890,910,2,10209.06,16724.74,0,0,0,0,0,0,0
72,"FC071-SD_.6K._",400,50,1,710,620,1.1,8954.700000000001,12996.52,0,0,0,0,0,0,0
73,"FC071-VD_.6N._",400,50,0,1300,2800,5.1,14579.9,25008.24,0,0,0,0,0,0,0
74,"FC071-VD_.6N._",400,50,1,990,1800,3,10576.61,19818.78,0,0,0,0,0,0,0
75,"FC071-VD_.7M._",400,50,0,1320,2600,4.5,13109.95,23539.27,0,0,0,0,0,0,0
76,"FC071-VD_.7M._",400,50,1,1020,1750,3,10848.17,19937.17,0,0,0,0,0,0,0
77,"FC080-AD_.6K._",400,50,0,680,720,1.8,10230.26,17500,0,0,0,0,0,0,0
78,"FC080-AD_.6K._",400,50,1,520,470,0.98,8388.16,14342.11,0,0,0,0,0,0,0
79,"FC080-ND_.6K._",400,50,0,430,210,0.65,5399.02,10482.76,0,0,0,0,0,0,0
80,"FC080-ND_.6K._",400,50,1,310,110,0.29,4118.23,8197.040000000001,0,0,0,0,0,0,0
81,"FC080-SD_.6K._",400,50,0,900,1400,2.7,12937.33,23095.09,0,0,0,0,0,0,0
82,"FC080-SD_.6K._",400,50,1,690,940,1.7,10013.02,18845.92,0,0,0,0,0,0,0
83,"FC080-VD_.7Q._",400,50,0,1270,5100,8.800000000000001,18010.47,37277.49,0,0,0,0,0,0,0
84,"FC080-VD_.7Q._",400,50,1,910,2700,5,13263.53,28272.25,0,0,0,0,0,0,0
85,"FC091-AD_.7M._",400,50,0,680,1750,3.4,18743.8,28859.5,0,0,0,0,0,0,0
86,"FC091-AD_.7M._",400,50,1,520,1200,2.3,14280.99,24545.45,0,0,0,0,0,0,0
87,"FC091-SD_.7Q._",400,50,0,850,3300,6.3,19519.5,35066.57,0,0,0,0,0,0,0
88,"FC091-SD_.7Q._",400,50,1,610,1900,3.5,15425.62,27066.7,0,0,0,0,0,0,0
89,"FC100-6D_.8P._",400,50,0,935,5500,10.5,35081.97,50000,0,0,0,0,0,0,0
90,"FC100-6D_.8P._",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
91,"FC100-AD_.7Q._",400,50,0,670,2200,4.2,19900.83,34644.63,0,0,0,0,0,0,0
92,"FC100-AD_.7Q._",400,50,1,530,1500,2.7,16066.12,28892.56,0,0,0,0,0,0,0
93,"FC100-MD_.7M._",400,50,0,530,1250,2.7,16660.12,28949.59,0,0,0,0,0,0,0
94,"FC100-MD_.7M._",400,50,1,390,810,1.55,13128.55,23199.68,0,0,0,0,0,0,0
95,"FC112-AD_.7Q._",400,50,0,620,3050,5.2,27399.65,45549.74,0,0,0,0,0,0,0
96,"FC112-AD_.7Q._",400,50,1,440,1750,2.9,21553.23,33769.63,0,0,0,0,0,0,0
97,"FC112-MD_.7M._",400,50,0,510,1600,3.6,21523.5,36781.73,0,0,0,0,0,0,0
98,"FC112-MD_.7M._",400,50,1,360,940,1.95,15392.82,28243.05,0,0,0,0,0,0,0
99,"FC112-ND_.7M._",400,50,0,420,970,2.3,17171.05,30986.84,0,0,0,0,0,0,0
100,"FC112-ND_.7M._",400,50,1,300,550,1.15,12368.42,23552.63,0,0,0,0,0,0,0
101,"FC125-AD_.8S._",400,50,0,640,4300,9,37870.86,62303.66,0,0,0,0,0,0,0
102,"FC125-AD_.8S._",400,50,1,490,2600,4.9,27975.57,50209.42,0,0,0,0,0,0,0
103,"FC125-MD_.7Q._",400,50,0,500,2200,4.5,27874.56,49128.92,0,0,0,0,0,0,0
104,"FC125-MD_.7Q._",400,50,1,330,1200,2.5,18989.55,33275.26,0,0,0,0,0,0,0
105,"FC125-ND_.7M._",400,50,0,380,1150,2.6,22631.58,37697.37,0,0,0,0,0,0,0
106,"FC125-ND_.7M._",400,50,1,250,560,1.2,15000,26842.11,0,0,0,0,0,0,0
107,"FE040-VD_.2C._",400,50,0,1300,270,0.48,2136.8,4646.91,0,0,0,0,0,0,0
108,"FE040-VD_.2C._",400,50,1,970,180,0.29,1803.01,3809.49,0,0,0,0,0,0,0
109,"FE042-VD_.2F._",400,50,0,1340,330,0.58,2400,5222.95,0,0,0,0,0,0,0
110,"FE042-VD_.2F._",400,50,1,1020,240,0.38,2075.41,4396.72,0,0,0,0,0,0,0
111,"FE045-SD_.4F._",400,50,0,900,220,0.61,2408.7,4991.3,0,0,0,0,0,0,0
112,"FE045-SD_.4F._",400,50,1,700,135,0.31,2060.87,4347.83,0,0,0,0,0,0,0
113,"FE045-VD_.4F._",400,50,0,1340,610,1.15,4017.26,7382.6,0,0,0,0,0,0,0
114,"FE045-VD_.4F._",400,50,1,1000,410,0.72,2843.49,5950.72,0,0,0,0,0,0,0
115,"FE050-SD_.4F._",400,50,0,900,320,0.74,3503.85,6455.66,0,0,0,0,0,0,0
116,"FE050-SD_.4F._",400,50,1,640,200,0.41,2773.94,5092.18,0,0,0,0,0,0,0
117,"FE050-VD_.4I._",400,50,0,1340,780,1.35,4250.87,9721.25,0,0,0,0,0,0,0
118,"FE050-VD_.4I._",400,50,1,1000,550,0.9399999999999999,3937.28,7874.56,0,0,0,0,0,0,0
119,"FE056-AD_.4F._",400,50,0,650,210,0.44,3049.18,5793.44,0,0,0,0,0,0,0
120,"FE056-AD_.4F._",400,50,1,480,125,0.23,2124.59,4721.31,0,0,0,0,0,0,0
121,"FE056-SD_.4F._",400,50,0,880,420,0.76,3617.53,7908.26,0,0,0,0,0,0,0
122,"FE056-SD_.4F._",400,50,1,670,280,0.46,3111.14,6612.03,0,0,0,0,0,0,0
123,"FE056-VD_.4M._",400,50,0,1320,1250,2.6,6059.02,11626.23,0,0,0,0,0,0,0
124,"FE056-VD_.4M._",400,50,1,1000,800,1.45,4504.92,9639.35,0,0,0,0,0,0,0
125,"FE063-AD_.4I._",400,50,0,650,330,0.8,3672.13,8262.290000000001,0,0,0,0,0,0,0
126,"FE063-AD_.4I._",400,50,1,480,190,0.38,2770.49,6852.46,0,0,0,0,0,0,0
127,"FE063-SD_.4I._",400,50,0,900,690,1.25,5626.23,11272.13,0,0,0,0,0,0,0
128,"FE063-SD_.4I._",400,50,1,690,480,0.78,5744.26,9619.67,0,0,0,0,0,0,0
129,"FE063-VD_.6N._",400,50,0,1310,2600,4.8,9261.08,20295.57,0,0,0,0,0,0,0
130,"FE063-VD_.6N._",400,50,1,1000,1600,2.7,7369.46,16078.82,0,0,0,0,0,0,0
131,"FE071-AD_.6F._",400,50,0,680,420,0.9399999999999999,5744.26,11291.8,0,0,0,0,0,0,0
132,"FE071-AD_.6F._",400,50,1,510,300,0.58,4445.9,9383.610000000001,0,0,0,0,0,0,0
133,"FE071-ND_.6F._",400,50,0,450,160,0.45,3888.71,7345.34,0,0,0,0,0,0,0
134,"FE071-ND_.6F._",400,50,1,360,90,0.22,3325.7,6232.41,0,0,0,0,0,0,0
135,"FE071-SD_.6F._",400,50,0,900,980,1.75,7986.09,14998.26,0,0,0,0,0,0,0
136,"FE071-SD_.6F._",400,50,1,680,700,1.15,6706.09,12772.17,0,0,0,0,0,0,0
137,"FE080-AD_.6K._",400,50,0,630,930,2,8457.889999999999,18048.79,0,0,0,0,0,0,0
138,"FE080-AD_.6K._",400,50,1,400,470,1,5863.9,12648.11,0,0,0,0,0,0,0
139,"FE080-AD_.6N._",400,50,0,680,1050,2.4,10032.79,19803.28,0,0,0,0,0,0,0
140,"FE080-AD_.6N._",400,50,1,530,770,1.5,7606.56,16688.52,0,0,0,0,0,0,0
141,"FE080-ND_.6K._",400,50,0,440,370,1.2,6321.31,12380.33,0,0,0,0,0,0,0
