CodiceBatteria,ItipoB,AlCS,Psq,Descrizione,PassoRanghi,PassoTubi,DiamEster,Spessoretubo,SpessoreAletta,AltezzaAletta,FatCorAl,FatRidAumSup,FatCoeflattub,FatCorrFatAttr,RidAreaPassTubo,Sigla,FattoreAttrAria,SlopeFatCorAl,SlopeFatCoeflattub,SlopeFatCorrFatAttr,SlopeFattoreAttrAria,FattoreAttrAriaLatente,RappSuperficiInterne,FattoreSensible,MetodoDiCalcolo,MetodoDiCalcoloPdC,PoliPdC_K0,PoliPdC_K1,ScriptPdCLungAdd,Fast,SecurityFactor,MultiFattori,TuboLiscio,Certificata,Parziale,UsaSistemaLE,Fat_PDC_LA_1,Fat_PDC_LC_1,Fat_PDC_LA_2,Fat_PDC_LC_2,Fat_PDC_LA_3,Fat_PDC_LC_3,Fat_PDC_LA_4,Fat_PDC_LC_4,AlterPumpMethod,Factor_A0,Factor_A1,Factor_A2,Factor_FATC,Fatt_PdC_Concentrate,FormaTubo,AltezzaTubo,LarghezzaTubo,TipoAletta,TipoTubo,ParametriSpeciali,Fatt_Exp1,Fatt_Exp2,AHRI_CERT,EUROVENT_CERT,Fatt_Exp3,Fatt_Exp4,Fatt_Exp5,Fatt_Exp6
3,1,1,"S","103216_S_S",16,32,10.3,0.35,0.12,0,1,1,1,1,1,"103216_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
5,1,1,"S","173833_S_S",33,38.1,16.65,0.35,0.12,0,1,1,1,1,1,"173833_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
8,1,1,"Q","173866_S_S",66,38.1,16.65,0.35,0.12,0,1,1,1,1,1,"173866_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
12,1,1,"S","166030_S_S",30,60,15.87,0.35,0.12,0,1,1,1,1,1,"166030_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
15,1,1,"S","276058_S_S",58,60,26.7,0.35,0.12,0,1,1,1,1,1,"276058_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
17,1,1,"S","081811_S_S",11,18,8,0.35,0.12,0,1,1,1,1,1,"081811_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
21,1,1,"S","072616_S_S",16,26,6.52,0.35,0.12,0,1,1,1,1,1,"072616_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
28,1,1,"S","176638_S_S",38,66,16.6,0.35,0.12,0,1,1,1,1,1,"176638_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
122,1,1,"S","165043_S_S",43.3,50,15.88,0.35,0.1,0,1,1,1,1,1,"165043_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
124,1,1,"S","133026_C_S",25.98,30,12.6,0.35,0.1,0,1.2,1.25,1,1,1,"133026_C_S",1.3,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
127,1,1,"S","072512_C_S",12.5,25,7.2,0.35,0.1,0,1.15,1,1,1,1,"072512_C_S",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
130,1,1,"S","072512_P_S",12.5,25,7.2,0.35,0.1,0,0.95,1,1,1,1,"072512_P_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
133,1,1,"S","102512_C_S",12.5,25,9.539999999999999,0.35,0.1,0,1.15,1,1,1,1,"102512_C_S",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
135,1,1,"S","102522_C_G",21.65,25,9.539999999999999,0.35,0.1,0,1.15,1,1.25,1.35,1,"102522_C_G",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,1,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
138,1,1,"S","102522_S_G",21.65,25,9.539999999999999,0.35,0.1,0,1,1,1.25,1.35,1,"102522_S_G",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
141,1,1,"S","102522_P_G",21.65,25,9.539999999999999,0.35,0.1,0,0.95,1,1.25,1.35,1,"102522_P_G",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
144,1,1,"Q","102525_C_G",25,25,9.539999999999999,0.35,0.1,0,1.15,1,1.25,1.35,1,"102525_C_G",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
146,1,1,"Q","103535_S_D",35,35,9.539999999999999,0.35,0.1,0,1,1,1.45,1.55,1,"103535_S_D",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
149,1,1,"S","133832_C_D",32.48,37.5,12.7,0.35,0.1,0,1.15,1,1.45,1.55,1,"133832_C_D",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
152,1,1,"S","072512_S_G",12.5,25,7.2,0.35,0.1,0,1,1,1.25,1.35,1,"072512_S_G",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
155,1,1,"S","072512_L_G",12.5,25,7.2,0.35,0.1,0,1.45,1,1.25,1.35,1,"072512_L_G",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
157,1,1,"S","102512_S_D",12.5,25,9.539999999999999,0.35,0.1,0,1,1,1.45,1.55,1,"102512_S_D",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
160,1,1,"S","102512_P_D",12.5,25,9.539999999999999,0.35,0.1,0,0.95,1,1.45,1.55,1,"102512_P_D",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
163,1,1,"S","102512_L_D",12.5,25,9.539999999999999,0.35,0.1,0,1.45,1,1.45,1.55,1,"102512_L_D",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
166,1,1,"S","102522_L_D",21.65,25,9.539999999999999,0.35,0.1,0,1.45,1,1.45,1.55,1,"102522_L_D",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
168,1,1,"S","102522_L_S",21.65,25,9.539999999999999,0.35,0.1,0,1.45,1,1,1,1,"102522_L_S",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,1,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
171,1,1,"Q","102525_S_S",25,25,9.539999999999999,0.35,0.1,0,1,1,1,1,1,"102525_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,1,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
174,1,1,"Q","102525_P_S",25,25,9.539999999999999,0.35,0.1,0,0.95,1,1,1,1,"102525_P_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
177,1,1,"Q","102525_L_S",25,25,9.539999999999999,0.35,0.1,0,1.45,1,1,1,1,"102525_L_S",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,1,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
179,1,1,"S","133832_S_D",32.48,37.5,12.7,0.35,0.1,0,1,1,1.45,1.55,1,"133832_S_D",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
182,1,1,"S","133832_P_D",32.48,37.5,12.7,0.35,0.1,0,0.95,1,1.45,1.55,1,"133832_P_D",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
185,1,1,"S","133832_L_D",32.48,37.5,12.7,0.35,0.1,0,1.45,1,1.45,1.55,1,"133832_L_D",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
188,1,1,"S","165043_S_G",43.3,50,15.88,0.35,0.1,0,1,1,1.25,1.35,1,"165043_S_G",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
190,1,1,"S","165043_C_D",43.3,50,15.88,0.35,0.1,0,1.15,1,1.45,1.55,1,"165043_C_D",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
193,1,1,"S","165043_P_D",43.3,50,15.88,0.35,0.1,0,0.95,1,1.45,1.55,1,"165043_P_D",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
